"No.","Time","Source","Destination","Protocol","losts","count","req_ms","losts_extend"
"1560","4.569871","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674503",""
"1586","4.621896","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[824 : 0,1,2,3,]","4","5674553",""
"1618","4.694521","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[829 : 0,1,2,3,4,]","5","5674628",""
"1660","4.770823","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674704",""
"1668","4.796006","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[835 : 0,1,]","2","5674729",""
"1695","4.820935","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[824 : 0,1,2,3,16,17,20,21,]","8","5674754",""
"1710","4.846502","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674779",""
"1733","4.871170","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[835 : 0,]","1","5674804",""
"1749","4.895884","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[827 : 0,3,4,5,13,14,20,21,]","8","5674829",""
"1770","4.922991","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674855",""
"1803","4.972159","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[827 : 0,3,4,5,13,20,21,24,25,27,29,30,]","12","5674905",""
"1818","4.997401","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5674930",""
"1839","5.021967","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,3,4,5,]","5","5674955",""
"1855","5.047287","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,2,10,17,18,21,22,24,]","8","5674981",""
"1880","5.072886","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[822 : 0,]","1","5675006",""
"1902","5.097941","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,4,5,7,]","5","5675031",""
"1916","5.123121","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,21,22,24,]","5","5675056",""
"1971","5.174978","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,4,5,9,10,11,12,13,14,]","10","5675106",""
"1986","5.198222","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,21,22,]","4","5675131",""
"2016","5.224963","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[877 : 0,1,2,3,4,6,7,9,10,11,12,]","11","5675156",""
"2024","5.247809","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,5,9,10,13,14,]","7","5675181",""
"2048","5.273418","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,]","2","5675206",""
"2066","5.298346","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[881 : 0,2,3,5,7,10,11,12,13,14,]","10","5675231",""
"2087","5.333015","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,2,9,10,13,14,37,38,39,]","9","5675256",""
"2106","5.348886","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,]","2","5675282",""
"2133","5.377113","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[881 : 0,2,3,5,7,10,12,13,14,20,]","10","5675307",""
"2146","5.400968","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,9,10,14,37,38,39,]","7","5675332",""
"2163","5.424333","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,73,74,76,]","5","5675357",""
"2192","5.448776","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[881 : 0,2,5,10,12,20,]","6","5675382",""
"2205","5.474678","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[860 : 0,9,10,14,37,39,]","6","5675407",""
"2241","5.499609","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[830 : 0,17,73,74,76,]","5","5675432",""
"2263","5.527297","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[881 : 0,2,10,12,20,]","5","5675460",""
"2276","5.551387","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[869 : 0,1,30,]","3","5675485",""
"2285","5.576690","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[904 : 0,4,5,6,7,8,9,10,11,12,13,14,15,16,]","14","5675510",""
"2341","5.627561","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[869 : 0,1,12,14,24,30,32,]","7","5675560",""
"2353","5.652614","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[904 : 0,4,5,6,8,10,11,13,14,19,20,21,22,]","13","5675586",""
"2364","5.679091","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[929 : 0,1,]","2","5675612",""
"2394","5.706877","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[869 : 0,12,24,30,32,]","5","5675637",""
"2402","5.728936","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[904 : 0,4,6,8,11,13,14,19,20,21,]","10","5675662",""
"2446","5.778988","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[869 : 0,30,64,65,66,67,]","6","5675712",""
"2483","5.804066","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[908 : 0,2,4,7,9,16,17,]","7","5675737",""
"2530","5.854250","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[899 : 0,35,36,37,]","4","5675787",""
"2553","5.879510","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[940 : 0,1,2,3,4,]","5","5675812",""
"2572","5.903653","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[908 : 0,2,4,]","3","5675837",""
"2600","5.930001","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[899 : 0,36,37,]","3","5675863",""
"2610","5.956407","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[940 : 0,1,4,6,7,8,9,11,12,13,14,]","11","5675888",""
"2626","5.982359","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[908 : 0,]","1","5675914",""
"2652","6.006737","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[899 : 0,36,]","2","5675939",""
"2670","6.032740","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[940 : 0,1,6,7,8,9,12,13,14,]","9","5675965",""
"2688","6.056607","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[908 : 0,]","1","5675990",""
"2707","6.082913","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[899 : 0,36,57,58,59,60,61,62,]","8","5676016",""
"2723","6.108521","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[941 : 0,5,6,7,8,]","5","5676041",""
"2745","6.133583","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[908 : 0,56,57,59,]","4","5676067",""
"2770","6.159689","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[899 : 0,36,57,58,59,60,61,62,]","8","5676093",""
"2795","6.185025","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[941 : 0,6,8,]","3","5676118",""
"2818","6.215102","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[908 : 0,56,59,61,]","4","5676144",""
"2831","6.236175","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[899 : 0,36,57,58,59,60,61,62,]","8","5676169",""
"2852","6.260859","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[941 : 0,6,8,33,34,35,37,39,]","8","5676194",""
"2876","6.287469","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[964 : 0,3,5,]","3","5676220",""
"2902","6.311912","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[899 : 0,36,57,58,60,61,62,]","7","5676245",""
"2919","6.337904","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[941 : 0,8,34,35,37,39,41,]","7","5676271",""
"2943","6.363559","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[967 : 0,]","1","5676297",""
"2967","6.389185","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[899 : 0,36,57,58,60,61,62,]","7","5676322",""
"2986","6.414190","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[941 : 0,34,35,37,39,41,]","6","5676347",""
"3000","6.439478","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[967 : 0,17,18,19,20,22,]","6","5676372",""
"3026","6.463681","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[935 : 0,24,25,26,]","4","5676397",""
"3042","6.489440","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[941 : 0,34,35,39,41,]","5","5676422",""
"3071","6.513889","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[967 : 0,17,19,22,]","4","5676447",""
"3087","6.539372","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[935 : 0,25,26,58,59,61,63,]","7","5676472",""
"3115","6.564755","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[975 : 0,1,5,7,26,28,29,]","7","5676498",""
"3134","6.590561","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[984 : 0,2,]","2","5676523",""
"3153","6.616875","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[935 : 0,25,26,59,63,]","5","5676548",""
"3168","6.640585","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[975 : 0,5,26,28,29,]","5","5676574",""
"3185","6.666085","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[984 : 0,2,]","2","5676599",""
"3201","6.691965","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[935 : 0,25,59,63,71,72,73,74,75,76,77,78,]","12","5676625",""
"3214","6.717880","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[975 : 0,28,]","2","5676651",""
"3232","6.742977","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[984 : 0,2,]","2","5676676",""
"3248","6.768678","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[960 : 0,38,48,49,50,51,52,53,]","8","5676701",""
"3271","6.793150","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1003 : 0,12,13,]","3","5676726",""
"3285","6.818376","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[984 : 0,2,]","2","5676751",""
"3303","6.843675","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[960 : 0,38,48,50,52,53,]","6","5676777",""
"3317","6.869711","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1015 : 0,3,4,5,6,7,8,]","7","5676803",""
"3327","6.894345","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[984 : 0,2,]","2","5676828",""
"3347","6.920208","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1008 : 0,4,5,18,]","4","5676853",""
"3357","6.944952","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1018 : 0,2,3,4,5,]","5","5676878",""
"3388","6.996136","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1008 : 0,4,5,18,]","4","5676928",""
"3404","7.021585","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1018 : 0,3,5,]","3","5676953",""
"3432","7.070931","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1008 : 0,4,5,]","3","5677004",""
"3450","7.105911","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1018 : 0,3,5,]","3","5677029",""
"3474","7.147459","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1008 : 0,4,5,]","3","5677080",""
"3488","7.175372","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1018 : 0,3,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,]","17","5677105",""
"3500","7.196844","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1046 : 0,1,2,3,5,6,]","6","5677130",""
"3547","7.247148","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1008 : 0,4,5,20,21,23,27,28,29,30,31,32,33,]","13","5677180",""
"3575","7.272371","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1018 : 0,30,31,33,34,]","5","5677205",""
"3630","7.323070","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1012 : 0,16,17,19,25,26,28,29,47,48,51,52,53,54,]","14","5677256",""
"3649","7.348733","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1048 : 0,1,3,4,]","4","5677282",""
"3697","7.401480","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1028 : 0,9,10,13,31,32,35,36,37,38,40,41,42,]","13","5677333",""
"3711","7.425110","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1049 : 0,2,3,]","3","5677358",""
"3735","7.450601","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1072 : 0,1,2,3,4,5,6,7,8,9,]","10","5677384",""
"3742","7.476141","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1028 : 0,13,31,32,36,37,42,]","7","5677409",""
"3769","7.501808","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1049 : 0,2,3,]","3","5677434",""
"3800","7.526765","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1072 : 0,1,2,3,5,6,7,]","7","5677459",""
"3814","7.551258","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1028 : 0,13,31,32,36,37,42,55,58,]","9","5677484",""
"3839","7.576264","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1049 : 0,2,3,]","3","5677509",""
"3864","7.603905","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1074 : 0,1,4,5,14,15,16,17,]","8","5677535",""
"3874","7.626706","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1041 : 0,19,23,24,29,42,45,]","7","5677560",""
"3898","7.652241","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1051 : 0,1,42,44,45,47,49,]","7","5677585",""
"3908","7.677824","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1074 : 0,1,4,14,15,16,17,]","7","5677611",""
"3927","7.703600","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1041 : 0,19,24,29,42,45,]","6","5677637",""
"3942","7.728883","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1052 : 0,43,44,46,48,]","5","5677662",""
"3960","7.753682","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1074 : 0,1,14,15,16,17,]","6","5677687",""
"3971","7.778989","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1060 : 0,23,]","2","5677712",""
"4018","7.830278","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1052 : 0,22,36,38,43,46,48,52,53,54,55,56,57,]","13","5677762",""
"4032","7.854597","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1113 : 0,1,2,]","3","5677787",""
"4084","7.905228","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1052 : 0,38,46,48,54,56,65,]","7","5677838",""
"4092","7.930543","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1113 : 0,1,2,]","3","5677864",""
"4124","7.980842","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1052 : 0,46,48,54,56,65,]","6","5677914",""
"4145","8.006206","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1113 : 0,2,]","2","5677939",""
"4170","8.031628","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1119 : 0,1,2,3,4,5,6,7,8,]","9","5677965",""
"4189","8.058900","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1052 : 0,46,48,54,56,]","5","5677990",""
"4207","8.082244","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1113 : 0,]","1","5678015",""
"4235","8.107904","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1122 : 0,1,2,3,4,]","5","5678040",""
"4245","8.132142","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1052 : 0,46,54,56,77,78,79,]","7","5678065",""
"4280","8.156489","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1113 : 0,]","1","5678090",""
"4305","8.182976","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1122 : 0,1,3,4,]","4","5678116",""
"4319","8.209420","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1052 : 0,46,77,78,79,81,82,83,84,85,87,89,]","12","5678141",""
"4357","8.258198","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1122 : 0,1,3,4,22,23,]","6","5678191",""
"4365","8.283254","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1052 : 0,46,78,79,81,83,87,]","7","5678216",""
"4406","8.332454","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1122 : 0,1,22,23,]","4","5678266",""
"4422","8.358107","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1098 : 0,32,33,35,37,]","5","5678291",""
"4469","8.408861","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1145 : 0,2,3,4,5,6,8,]","7","5678342",""
"4495","8.443292","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1098 : 0,35,]","2","5678367",""
"4515","8.484461","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1145 : 0,2,3,5,6,11,12,14,]","8","5678417",""
"4534","8.515441","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1161 : 0,1,3,]","3","5678445",""
"4575","8.562354","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1145 : 0,2,3,11,12,14,]","6","5678496",""
"4594","8.589187","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1161 : 0,3,5,6,7,8,9,10,11,13,]","10","5678522",""
"4633","8.641248","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1145 : 0,3,11,12,14,]","5","5678572",""
"4637","8.663586","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1164 : 0,2,3,4,5,6,7,8,10,]","9","5678597",""
"4683","8.714171","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1145 : 0,11,14,]","3","5678647",""
"4704","8.739696","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1166 : 0,2,3,4,5,10,11,12,13,14,15,16,17,]","13","5678672",""
"4749","8.789691","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1145 : 0,11,41,42,]","4","5678722",""
"4754","8.813741","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1166 : 0,2,5,11,12,14,16,17,]","8","5678747",""
"4778","8.839167","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1189 : 0,1,2,3,4,6,]","6","5678772",""
"4796","8.863727","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1156 : 0,30,31,]","3","5678797",""
"4819","8.889106","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1166 : 0,2,12,14,17,]","5","5678822",""
"4830","8.915005","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1190 : 0,1,2,8,9,]","5","5678847",""
"4866","8.963414","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1166 : 0,12,17,]","3","5678897",""
"4878","8.988831","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1190 : 0,8,9,]","3","5678922",""
"4892","9.013729","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1202 : 0,1,2,3,4,5,7,]","7","5678947",""
"4912","9.038960","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1178 : 0,5,]","2","5678972",""
"4929","9.064288","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1198 : 0,1,13,14,15,16,17,]","7","5678997",""
"4949","9.090672","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1202 : 0,1,2,3,5,]","5","5679022",""
"4961","9.115367","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1178 : 0,5,39,41,42,44,]","6","5679047",""
"4975","9.139311","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1198 : 0,1,13,14,15,16,17,]","7","5679072",""
"4991","9.164496","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1202 : 0,3,5,]","3","5679097",""
"5015","9.188995","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1183 : 0,34,36,37,39,]","5","5679122",""
"5032","9.213893","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,1,2,3,12,13,]","6","5679147",""
"5052","9.239195","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1202 : 0,5,]","2","5679172",""
"5065","9.264393","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1183 : 0,34,37,44,45,46,]","6","5679197",""
"5088","9.289466","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,2,12,13,]","4","5679223",""
"5115","9.315858","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1202 : 0,5,]","2","5679249",""
"5135","9.340459","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1217 : 0,3,12,]","3","5679274",""
"5154","9.366901","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,2,13,19,20,21,23,25,26,]","9","5679299",""
"5176","9.390410","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1207 : 0,]","1","5679324",""
"5199","9.416065","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1220 : 0,21,22,24,25,26,27,28,]","8","5679349",""
"5214","9.441719","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,2,13,19,20,23,25,26,]","8","5679374",""
"5241","9.468646","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1207 : 0,]","1","5679399",""
"5263","9.493337","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1220 : 0,21,22,24,25,28,30,31,32,33,]","10","5679424",""
"5275","9.516022","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,2,20,25,26,]","5","5679449",""
"5321","9.566781","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1220 : 0,22,24,28,30,32,36,37,]","8","5679500",""
"5352","9.617638","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,25,26,]","3","5679551",""
"5358","9.642871","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1242 : 0,6,14,15,19,20,21,]","7","5679576",""
"5392","9.694141","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,25,]","2","5679626",""
"5417","9.717762","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1256 : 0,5,10,11,]","4","5679651",""
"5434","9.744076","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1269 : 0,2,3,]","3","5679676",""
"5462","9.769106","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,]","1","5679702",""
"5471","9.794293","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1256 : 0,5,10,11,]","4","5679728",""
"5493","9.821246","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1271 : 0,1,]","2","5679754",""
"5513","9.846854","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1212 : 0,64,65,66,67,68,69,70,72,73,]","10","5679779",""
"5535","9.871762","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1261 : 0,6,]","2","5679805",""
"5555","9.897371","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1271 : 0,1,16,17,18,]","5","5679830",""
"5567","9.922802","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1276 : 0,1,3,4,5,6,8,9,]","8","5679856",""
"5589","9.947917","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1261 : 0,6,]","2","5679881",""
"5607","9.973885","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1271 : 0,1,18,]","3","5679906",""
"5625","9.997975","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1276 : 0,1,5,8,9,]","5","5679931",""
"5634","10.023419","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1261 : 0,6,30,31,32,33,34,35,36,38,]","10","5679957",""
"5660","10.048896","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1272 : 0,17,]","2","5679982",""
"5680","10.073924","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1277 : 0,7,]","2","5680007",""
"5694","10.099154","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1291 : 0,1,2,3,4,5,6,8,11,]","9","5680032",""
"5715","10.126615","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1272 : 0,17,]","2","5680057",""
"5735","10.152680","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1277 : 0,]","1","5680083",""
"5759","10.175467","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[1291 : 0,1,2,3,4,6,]","6","5680108",""
