"No.","Time","Source","Destination","Protocol","losts","count","req_ms","losts_extend"
"96666","127.412904","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11574 : 0,1,]","2","5797346",""
"96675","127.438014","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11583 : 0,1,]","2","5797371",""
"96712","127.487742","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11574 : 0,1,]","2","5797421",""
"96722","127.512119","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11583 : 0,1,4,5,6,7,8,9,10,11,13,14,15,]","13","5797446",""
"96775","127.562529","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11575 : 0,]","1","5797496",""
"96794","127.588291","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11583 : 0,4,6,8,9,10,13,14,15,17,18,]","11","5797521",""
"96843","127.637637","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11575 : 0,28,29,30,31,34,35,]","7","5797571",""
"96848","127.662312","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11583 : 0,4,6,9,13,17,18,]","7","5797596",""
"96874","127.688176","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11612 : 0,2,3,]","3","5797622",""
"96902","127.713859","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11603 : 0,1,2,6,]","4","5797647",""
"96919","127.738637","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11589 : 0,3,7,11,12,]","5","5797672",""
"96933","127.763522","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11614 : 0,1,3,4,5,6,7,8,9,10,11,]","11","5797697",""
"96952","127.789044","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11603 : 0,1,6,]","3","5797723",""
"96971","127.815434","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,4,8,9,]","4","5797749",""
"96993","127.840968","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11614 : 0,1,3,5,6,7,10,11,13,14,15,16,17,18,]","14","5797774",""
"97005","127.866259","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11604 : 0,5,]","2","5797800",""
"97037","127.891784","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,4,8,]","3","5797825",""
"97045","127.917063","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11614 : 0,1,5,7,11,13,14,15,16,17,18,21,22,23,24,25,]","16","5797850",""
"97059","127.941962","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11609 : 0,]","1","5797876",""
"97083","127.968104","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,4,]","2","5797901",""
"97094","127.993167","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11615 : 0,4,10,13,14,15,16,20,21,22,23,24,]","12","5797927",""
"97114","128.018548","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11609 : 0,33,34,35,37,]","5","5797952",""
"97140","128.043179","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,4,]","2","5797977",""
"97154","128.069846","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11625 : 0,3,4,5,10,11,13,14,]","8","5798003",""
"97183","128.095144","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11609 : 0,33,34,35,37,]","5","5798028",""
"97203","128.119413","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,57,58,]","3","5798053",""
"97227","128.144819","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11628 : 0,2,7,10,11,]","5","5798078",""
"97244","128.170228","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11609 : 0,33,34,37,43,44,45,47,]","8","5798104",""
"97265","128.195237","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,57,]","2","5798129",""
"97284","128.220719","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11628 : 0,2,7,30,]","4","5798154",""
"97294","128.245655","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11642 : 0,1,4,]","3","5798179",""
"97311","128.270564","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,57,]","2","5798204",""
"97325","128.295315","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11628 : 0,2,7,30,32,33,34,35,36,37,38,]","11","5798229",""
"97333","128.320705","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11642 : 0,4,]","2","5798254",""
"97357","128.346677","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,76,77,78,]","4","5798280",""
"97365","128.371533","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11628 : 0,7,32,34,36,37,38,44,45,46,47,48,]","12","5798305",""
"97394","128.422491","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,76,77,78,]","4","5798356",""
"97422","128.446915","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11628 : 0,32,34,37,38,45,47,50,51,52,53,54,]","12","5798381",""
"97464","128.498697","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,76,77,]","3","5798432",""
"97478","128.523511","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11660 : 0,2,5,6,13,15,18,19,20,21,22,]","11","5798457",""
"97513","128.548784","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11685 : 0,1,2,]","3","5798482",""
"97535","128.574255","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,76,77,]","3","5798507",""
"97554","128.598205","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11662 : 0,3,13,16,17,18,19,20,]","8","5798532",""
"97573","128.624532","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11685 : 0,1,2,]","3","5798558",""
"97605","128.649908","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11592 : 0,77,]","2","5798583",""
"97630","128.675037","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11665 : 0,10,13,14,17,24,25,26,27,28,29,30,31,32,]","14","5798609",""
"97649","128.699497","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11685 : 0,2,]","2","5798633",""
